JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cq0cr5828rp0008a49tg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:52:53.978781Z,2024-02-05T11:54:45.715Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cq9d7z1hg008nh2eg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:51:02.004812Z,2024-02-05T11:52:51.401Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cpc9hbttg008j6yx0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:49:05.322511Z,2024-02-05T11:50:57.08Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cng67z1hg008nh2cg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:47:12.778215Z,2024-02-05T11:49:02.03Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cmktdhsd0008e5p7g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:45:19.95507Z,2024-02-05T11:47:10.142Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ckpyd7we000829rp0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:43:23.706558Z,2024-02-05T11:45:16.915Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cjtb7z1hg008nh2a0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:41:29.944523Z,2024-02-05T11:43:19.556Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0chyfd7we0008s11wg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:39:37.39199Z,2024-02-05T11:41:26.68Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ch2cph3s0008fn4hg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:37:45.713924Z,2024-02-05T11:39:34.78Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cg58ph3s0008fn4h0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:35:50.098127Z,2024-02-05T11:37:40.593Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cf9dd7we0008nw2d0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:33:57.56605Z,2024-02-05T11:35:47.801Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
